"","0.755","X2","89","X4","X5","X6","X7","90","X9","X10","X11","X12","91","X14","X15","X16","X17","92","X19","X20","X21","X22","93","X24","X25","X26","X27"
"1","Civic Engagement Attribute Totals
(sorted by winner below)",NA,"Voting age","raw data","difference","raw score","weighted score","Average age of city councillors (elected officials) in your city","raw data","difference","raw score","weighted score","Volunteer opportunities","raw data","difference","raw score","weighted score","Political influence - Youth advisory board","raw data","difference","raw score","weighted score","Volunteerism in high school scale","raw data","difference","raw score","weighted score"
"71","Berlin","26.638035148956895","Bangkok","18","2","60","45.3","Boston","45.5","6.5","66.494845360824741","50.203608247422679","Berlin","35","93","26.771653543307082","20.212598425196848","Singapore","90","1110","7.5","5.6624999999999996","Chicago","40","160","20","15.1"
"72","Bogota","26.407551465216329","Berlin","18","2","60","45.3","Quito","46","7","63.917525773195877","48.257731958762889","Santiago","35","93","26.771653543307082","20.212598425196848","Boston","84","1116","7","5.2850000000000001","Amsterdam","30","170","15","11.324999999999999"
"73","Karachi","25.262744946830097","Bogota","18","2","60","45.3","Mumbai","46.27","7.2700000000000031","62.525773195876269","47.206958762886586","Casablanca","32","96","24.40944881889763","18.429133858267711","Paris","80","1120","6.6666666666666714","5.0333333333333368","Karachi","30","170","15","11.324999999999999"
"74","Boston","25.198981492004219","Buenos Aires","18","2","60","45.3","Detroit","47","8","58.762886597938142","44.365979381443296","Quito","30","98","22.834645669291334","17.240157480314956","Dallas","70","1130","5.8333333333333428","4.4041666666666739","Tokyo","12","188","6","4.53"
"75","Rio De Janeiro","24.621617014368049","Cairo","18","2","60","45.3","San Francisco","47","8","58.762886597938142","44.365979381443296","Cairo",NA,"128","-0.78740157480315531","16.794291338582674","Moscow","45","1155","3.75","2.8312499999999998","Singapore","6","194","3","2.2650000000000001"
"76","Washington","22.355037284116428","Caracas","18","2","60","45.3","Karachi","47.52","8.5200000000000031","56.082474226804102","42.342268041237098","Dubai","29","99","22.047244094488178","16.645669291338574","Tel Aviv","45","1155","3.75","2.8312499999999998","Toronto","5","195","2.5","1.8875"
"77","Tehran","22.275533728387046","Casablanca","18","2","60","45.3","Berlin","47.8","8.7999999999999972","54.639175257731971","41.252577319587637","Seoul","28","100","21.259842519685037","16.051181102362204","San Francisco","42","1158","3.5","2.6425000000000001","Accra","0","200","0","0"
"78","Warsaw","21.207572469356279","Chicago","18","2","60","45.3","Warsaw","47.82","8.82","54.536082474226802","41.174742268041236","Hong Kong","na","na","na","15.337795275590548","Toronto","37","1163","3.0833333333333428","2.327916666666674","Bangkok","0","200","0","0"
"79","Sydney","20.944892851598233","Dallas","18","2","60","45.3","New York City","48","9","53.608247422680407","40.47422680412371","Johannesburg","26","102","19.685039370078741","14.86220472440945","Washington","32","1168","2.6666666666666714","2.0133333333333367","Beirut","0","200","0","0"
"80","Rome","20.897608166247259","Dar Es Salaam","18","2","60","45.3","Paris","48","9","53.608247422680407","40.47422680412371","Tehran","26","102","19.685039370078741","14.86220472440945","Los Angeles","30","1170","2.5","1.8875","Berlin","0","200","0","0"
